  LogType  	  Source   	Destination	    ip     	  RegDate  	  Reason   	
Disconnect	1       	4611686030516534109	127.0.0.1	2026-07-12 17:03:16	IOCP_GetStatus [IOCP_GetStatus Closed by local machine]	
Disconnect	1       	4611686030516534109	127.0.0.1	2026-07-12 17:08:09	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	1       	4611686030516534109	127.0.0.1	2026-07-12 17:27:18	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	1       	4611686030516534109	127.0.0.1	2026-07-12 17:32:16	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	1       	4611686078152309487	127.0.0.1	2026-07-12 17:38:22	IOCP_GetStatus [IOCP_GetStatus Closed by local machine]	
Disconnect	1       	4611686083397301549	192.168.1.138	2026-07-12 17:38:22	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	1       	4611686035235209222	136.36.127.72	2026-07-12 17:38:22	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	1       	4611686030516534109	127.0.0.1	2026-07-12 17:43:46	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	1       	4611686030516534109	127.0.0.1	2026-07-12 17:46:56	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	1       	4611686083397301549	136.36.127.72	2026-07-12 17:49:21	IOCP_GetStatus [IOCP_GetStatus Closed by local machine]	
