  LogType  	  Source   	Destination	    ip     	  RegDate  	  Reason   	
Disconnect	2       	4611686030516534109	127.0.0.1	2026-07-12 17:08:31	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	2       	4611686030516534109	127.0.0.1	2026-07-12 17:27:40	IOCP_GetStatus [IOCP_GetStatus Closed by local machine]	
Disconnect	2       	4611686030516534109	127.0.0.1	2026-07-12 17:32:39	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	2       	4611686078152309487	136.36.127.72	2026-07-12 17:32:51	IOCP_GetStatus [IOCP_GetStatus Closed by local machine]	
Disconnect	2       	4611686083397301549	127.0.0.1	2026-07-12 17:38:22	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	2       	4611686035235209222	192.168.1.138	2026-07-12 17:38:22	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	2       	4611686038323219387	136.36.127.72	2026-07-12 17:38:22	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	2       	4611686030516534109	127.0.0.1	2026-07-12 17:43:46	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	2       	4611686030516534109	127.0.0.1	2026-07-12 17:47:16	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
Disconnect	2       	4611686078152309487	136.36.127.72	2026-07-12 17:47:38	IOCP_GetStatus [IOCP_GetStatus Closed by local machine]	
Disconnect	2       	4611686035235209222	136.36.127.72	2026-07-12 17:49:21	Session_Close [A﹌卹O A取﹞a ﹉“Ao (Session)]	
