Set: Salvatore Gaia | File: Elsword\Resources\Enum.lua | Line: 116 | ID/Key: TA_CENTER_LEFT=4 | Context: SGI_GAIA			= 1,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 3236 | ID/Key: DI_SANDER_DEN_OF_TROCK_HARD=33221 | Context: -- 헤니르의 시공
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 3237 | ID/Key: DI_SANDER_DEN_OF_TROCK_EXPERT=33222 | Context: DI_ELDER_HENIR_SPACE                    = 38100,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 3238 | ID/Key: DI_SANDER_KARUSO_VILLAGE_NORMAL=33230 | Context: --DI_BESMA_HENIR_SPACE                    = 38110,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 3239 | ID/Key: DI_SANDER_KARUSO_VILLAGE_NORMAL=33230 | Context: --DI_ALTERA_HENIR_SPACE                   = 38120,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 3240 | ID/Key: DI_SANDER_KARUSO_VILLAGE_NORMAL=33230 | Context: --DI_FEITA_HENIR_SPACE                    = 38130,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 3241 | ID/Key: DI_SANDER_KARUSO_VILLAGE_HARD=33231 | Context: --DI_VELDER_HENIR_SPACE                   = 38140,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 3242 | ID/Key: DI_SANDER_KARUSO_VILLAGE_EXPERT=33232 | Context: --DI_HAMEL_HENIR_SPACE                 	= 38150,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4006 | ID/Key: NUI_SMALLGATE_POST_CAPTION1=436 | Context: NUI_BOX_HENIR									= 447,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4007 | ID/Key: NUI_SMALLGATE_POST_CAPTION2=437 | Context: NUI_GATE_HENIR_YES								= 448,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4008 | ID/Key: NUI_AMETHYST_ATTACKER=438 | Context: NUI_GATE_HENIR_NO								= 449,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4019 | ID/Key: NUI_BOX_HENIR=447 | Context: NUI_PLANT_OVERLOAD_HENIR						= 456,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4054 | ID/Key: NUI_BLOOD_EATER=474 | Context: NUI_EL_POWER_PLANT_HENIR                        = 485,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4055 | ID/Key: NUI_CANNON_DEMON=475 | Context: NUI_NASOD_KING_HENIR                            = 486,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4056 | ID/Key: NUI_BARRICADE_DEMON=476 | Context: NUI_SUMMON_BOSS_A_HENIR							= 487,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4285 | ID/Key: NUI_VELDER_GATE_SMALL_GATE1=659 | Context: NUI_NASOD_DRILLER_HENIR							= 666,
Set: Shadow | File: Elsword\Resources\Enum.lua | Line: 4412 | ID/Key: NUI_UNDERWATER_GATE=749 | Context: NUI_DEFENCE_SHADOW_BLAST						= 759,		-- 어둠의 문 섀도우 블라스트
Set: Shadow | File: Elsword\Resources\Enum.lua | Line: 4413 | ID/Key: NUI_UNDERWATER_BOSS_GATE=750 | Context: NUI_DEFENCE_DARKNESS_BOSS						= 760,		-- 어둠의 문 다크니스(대왕 섀도우 블라스트)
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4618 | ID/Key: NUI_NPC_EVE_03=902 | Context: NUI_HENIR_SECRETROOM_GLAVE						= 911,
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4619 | ID/Key: NUI_NPC_EVE_04=903 | Context: NUI_HENIR_RESTROOM_CUBE_A						= 912,		-- 헤니르의 시공 휴식방 장식용 큐브들
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4620 | ID/Key: NUI_NPC_EVE_05=904 | Context: NUI_HENIR_RESTROOM_CUBE_B						= 913,		-- 헤니르의 시공 휴식방 장식용 큐브들
Set: Henir - Lord of Time and Space | File: Elsword\Resources\Enum.lua | Line: 4622 | ID/Key: NUI_NPC_CHUNG_02=906 | Context: NUI_HENIR_CRYSTAL_TRAP_LEFT						= 914,		-- 헤니르의 시공 타란바슈 스테이지의 거울(좌측)
